iter	Passed	Remaining
0	16	1599
1	19	935
2	48	1579
3	50	1209
4	53	1025
5	57	904
6	63	848
7	67	775
8	70	708
9	82	740
10	85	692
11	96	704
12	98	656
13	102	630
14	110	623
15	112	588
16	114	558
17	145	664
18	150	642
19	168	673
20	175	659
21	209	741
22	211	707
23	213	675
24	223	670
25	226	645
26	228	619
27	230	593
28	233	571
29	239	557
30	241	536
31	243	516
32	247	501
33	432	839
34	436	811
35	439	780
36	441	752
37	452	738
38	455	711
39	459	689
40	471	678
41	472	652
42	517	685
43	602	766
44	604	738
45	616	723
46	618	697
47	620	672
48	624	649
49	627	627
50	930	893
51	938	866
52	941	834
53	944	804
54	946	774
55	1301	1022
56	1304	984
57	1306	946
58	1313	912
59	1315	877
60	1317	842
61	1324	811
62	1327	779
63	1329	747
64	1331	716
65	1333	686
66	1338	659
67	1341	631
68	1350	606
69	1352	579
70	1355	553
71	1371	533
72	1383	511
73	1419	498
74	1452	484
75	1481	467
76	1485	443
77	1487	419
78	1497	397
79	1500	375
80	1510	354
81	1513	332
82	1515	310
83	1523	290
84	1527	269
85	1529	248
86	1531	228
87	1539	209
88	1541	190
89	1543	171
90	1546	152
91	1603	139
92	1611	121
93	1620	103
94	1623	85
95	1625	67
96	1627	50
97	1631	33
98	1633	16
99	1636	0
