iter	Passed	Remaining
0	182	182402
1	184	92103
2	191	63573
3	193	48149
4	195	38900
5	198	32828
6	200	28410
7	207	25685
8	209	23030
9	211	20912
10	213	19177
11	215	17732
12	223	16941
13	225	15863
14	227	14926
15	229	14106
16	231	13390
17	238	13029
18	240	12440
19	242	11905
20	245	11424
21	247	10990
22	255	10838
23	257	10468
24	262	10237
25	270	10121
26	272	9809
27	274	9517
28	276	9247
29	278	8997
30	285	8925
31	287	8703
32	289	8494
33	292	8296
34	294	8117
35	302	8101
36	304	7928
37	306	7767
38	308	7611
39	316	7605
40	318	7461
41	321	7324
42	323	7197
43	330	7189
44	333	7067
45	335	6950
46	337	6834
47	339	6730
48	346	6734
49	349	6632
50	351	6535
51	353	6442
52	355	6357
53	362	6356
54	364	6269
55	366	6185
56	369	6106
57	376	6109
58	378	6034
59	380	5961
60	382	5889
61	384	5818
62	386	5752
63	394	5766
64	396	5702
65	398	5637
66	401	5592
67	412	5656
68	414	5597
69	416	5538
70	426	5585
71	429	5531
72	431	5475
73	433	5422
74	440	5437
75	442	5384
76	445	5336
77	447	5286
78	449	5242
79	456	5254
80	459	5208
81	461	5162
82	462	5107
83	470	5133
84	474	5113
85	477	5069
86	479	5028
87	486	5044
88	488	5004
89	490	4963
90	493	4928
91	495	4889
92	502	4902
93	504	4865
94	506	4828
95	508	4792
96	511	4757
97	519	4780
98	521	4745
99	523	4711
100	525	4677
101	533	4692
102	535	4660
103	537	4628
104	540	4609
105	549	4633
106	551	4603
107	553	4573
108	555	4543
109	558	4514
110	566	4533
111	568	4504
112	570	4478
113	573	4459
114	580	4471
115	582	4442
116	584	4410
117	588	4397
118	595	4412
119	598	4385
120	600	4359
121	601	4328
122	603	4303
123	611	4320
124	613	4295
125	615	4272
126	617	4244
127	619	4222
128	629	4249
129	631	4225
130	633	4200
131	635	4178
132	643	4192
133	645	4169
134	647	4147
135	649	4125
136	651	4104
137	658	4115
138	660	4093
139	662	4072
140	665	4051
141	666	4025
142	676	4052
143	678	4031
144	680	4011
145	682	3991
146	698	4051
147	705	4063
148	708	4043
149	710	4024
150	712	4004
151	714	3986
152	722	3997
153	724	3978
154	726	3959
155	742	4015
156	744	3996
157	746	3978
158	754	3988
159	756	3971
160	757	3948
161	759	3930
162	761	3912
163	769	3923
164	771	3904
165	773	3885
166	775	3868
167	777	3851
168	785	3862
169	789	3853
170	791	3836
171	793	3819
172	800	3828
173	802	3811
174	805	3795
175	807	3778
176	809	3762
177	816	3770
178	818	3754
179	820	3738
180	822	3722
181	824	3707
182	848	3786
183	850	3770
184	857	3779
185	860	3763
186	862	3748
187	864	3733
188	866	3719
189	874	3726
190	876	3711
191	878	3696
192	880	3680
193	882	3666
194	890	3675
195	907	3722
196	909	3706
197	911	3690
198	913	3675
199	915	3661
200	922	3665
201	924	3651
202	926	3637
203	928	3622
204	930	3609
205	938	3617
206	940	3602
207	942	3588
208	944	3575
209	952	3584
210	1001	3746
211	1003	3731
212	1006	3717
213	1008	3702
214	1010	3688
215	1017	3694
216	1019	3680
217	1021	3665
218	1026	3661
219	1036	3675
220	1039	3664
221	1041	3651
222	1065	3713
223	1067	3699
224	1074	3700
225	1081	3704
226	1083	3690
227	1085	3676
228	1088	3663
229	1090	3649
230	1097	3652
231	1099	3638
232	1101	3625
233	1103	3612
234	1105	3599
235	1113	3604
236	1115	3591
237	1117	3577
238	1120	3567
239	1122	3554
240	1124	3541
241	1126	3528
242	1128	3515
243	1132	3507
244	1139	3511
245	1141	3498
246	1143	3485
247	1145	3473
248	1147	3460
249	1154	3463
250	1156	3451
251	1159	3440
252	1161	3428
253	1163	3416
254	1170	3420
255	1172	3407
256	1175	3397
257	1177	3386
258	1183	3387
259	1186	3375
260	1188	3365
261	1190	3353
262	1192	3342
263	1200	3345
264	1202	3334
265	1204	3323
266	1206	3312
267	1208	3301
268	1216	3305
269	1218	3295
270	1221	3284
271	1228	3288
272	1230	3277
273	1232	3266
274	1234	3255
275	1236	3244
276	1243	3246
277	1246	3237
278	1248	3226
279	1250	3216
280	1253	3206
281	1260	3209
282	1262	3199
283	1264	3189
284	1267	3178
285	1273	3180
286	1275	3169
287	1278	3160
288	1280	3149
289	1282	3139
290	1289	3142
291	1291	3132
292	1293	3122
293	1296	3112
294	1298	3102
295	1305	3105
296	1323	3132
297	1325	3122
298	1327	3112
299	1329	3102
300	1331	3092
301	1334	3084
302	1336	3074
303	1338	3064
304	1340	3054
305	1347	3057
306	1350	3047
307	1352	3037
308	1354	3029
309	1356	3020
310	1366	3027
311	1368	3018
312	1371	3011
313	1378	3012
314	1381	3003
315	1383	2994
316	1385	2984
317	1387	2975
318	1394	2977
319	1397	2968
320	1399	2959
321	1401	2950
322	1403	2941
323	1411	2944
324	1415	2939
325	1417	2929
326	1419	2922
327	1421	2913
328	1424	2904
329	1426	2895
330	1428	2887
331	1435	2889
332	1437	2880
333	1440	2871
334	1442	2862
335	1444	2853
336	1451	2854
337	1453	2845
338	1455	2837
339	1462	2839
340	1464	2830
341	1466	2821
342	1468	2812
343	1470	2803
344	1477	2805
345	1479	2796
346	1481	2788
347	1483	2780
348	1486	2771
349	1493	2774
350	1495	2765
351	1499	2761
352	1502	2753
353	1508	2753
354	1510	2745
355	1513	2737
356	1515	2728
357	1517	2720
358	1524	2722
359	1526	2714
360	1530	2709
361	1532	2701
362	1540	2703
363	1542	2695
364	1544	2687
365	1547	2680
366	1549	2672
367	1556	2673
368	1559	2665
369	1561	2658
370	1563	2650
371	1565	2642
372	1572	2643
373	1574	2635
374	1576	2627
375	1578	2620
376	1586	2621
377	1588	2614
378	1592	2608
379	1594	2600
380	1596	2593
381	1603	2594
382	1605	2586
383	1607	2579
384	1609	2571
385	1612	2564
386	1619	2565
387	1621	2558
388	1623	2550
389	1625	2543
390	1633	2543
391	1635	2536
392	1637	2528
393	1639	2521
394	1641	2514
395	1649	2516
396	1651	2508
397	1653	2501
398	1656	2494
399	1664	2496
400	1666	2489
401	1668	2481
402	1670	2474
403	1672	2467
404	1679	2467
405	1697	2482
406	1699	2475
407	1701	2468
408	1703	2461
409	1710	2462
410	1713	2455
411	1717	2450
412	1726	2454
413	1728	2446
414	1730	2439
415	1732	2431
416	1734	2424
417	1741	2425
418	1747	2423
419	1749	2416
420	1752	2409
421	1760	2410
422	1762	2404
423	1771	2406
424	1773	2399
425	1775	2392
426	1777	2385
427	1785	2386
428	1787	2379
429	1789	2372
430	1791	2365
431	1804	2373
432	1808	2368
433	1811	2362
434	1813	2355
435	1816	2349
436	1818	2342
437	1820	2335
438	1829	2337
439	1831	2330
440	1833	2324
441	1836	2318
442	1842	2317
443	1847	2313
444	1849	2307
445	1852	2300
446	1858	2299
447	1860	2292
448	1865	2289
449	1867	2282
450	1874	2282
451	1878	2277
452	1880	2271
453	1882	2264
454	1891	2265
455	1893	2258
456	1898	2255
457	1905	2255
458	1908	2248
459	1910	2242
460	1912	2235
461	1914	2229
462	1921	2228
463	1923	2222
464	1925	2215
465	1931	2213
466	1941	2216
467	1948	2214
468	1951	2209
469	1953	2202
470	1955	2195
471	1958	2191
472	1965	2190
473	1967	2183
474	1969	2176
475	1971	2170
476	1973	2163
477	1980	2163
478	1982	2156
479	1984	2150
480	1988	2146
481	1995	2144
482	1997	2138
483	1999	2132
484	2002	2126
485	2004	2119
486	2011	2119
487	2016	2115
488	2018	2109
489	2020	2103
490	2028	2102
491	2030	2096
492	2032	2090
493	2035	2084
494	2037	2078
495	2039	2072
496	2041	2066
497	2043	2059
498	2045	2053
499	2048	2048
500	2052	2044
501	2054	2038
502	2056	2031
503	2058	2025
504	2060	2019
505	2062	2013
506	2064	2007
507	2067	2002
508	2074	2000
509	2076	1994
510	2078	1988
511	2080	1982
512	2082	1977
513	2089	1975
514	2091	1970
515	2093	1964
516	2095	1958
517	2098	1952
518	2105	1951
519	2107	1945
520	2109	1939
521	2113	1935
522	2120	1933
523	2122	1928
524	2124	1922
525	2126	1916
526	2128	1910
527	2136	1909
528	2138	1904
529	2140	1898
530	2142	1892
531	2144	1886
532	2151	1885
533	2153	1879
534	2155	1873
535	2157	1868
536	2174	1874
537	2181	1873
538	2197	1879
539	2199	1873
540	2201	1868
541	2203	1862
542	2206	1856
543	2213	1855
544	2215	1849
545	2217	1843
546	2219	1838
547	2221	1832
548	2261	1857
549	2265	1853
550	2268	1848
551	2270	1842
552	2278	1841
553	2280	1835
554	2282	1829
555	2283	1823
556	2285	1818
557	2293	1816
558	2295	1811
559	2297	1805
560	2299	1799
561	2313	1803
562	2315	1797
563	2317	1791
564	2325	1790
565	2327	1784
566	2329	1778
567	2331	1773
568	2333	1767
569	2340	1765
570	2342	1760
571	2345	1754
572	2347	1749
573	2349	1743
574	2359	1743
575	2361	1738
576	2363	1732
577	2365	1726
578	2373	1725
579	2375	1720
580	2377	1714
581	2379	1709
582	2387	1707
583	2389	1702
584	2392	1696
585	2394	1691
586	2396	1686
587	2403	1684
588	2405	1678
589	2407	1672
590	2409	1667
591	2411	1662
592	2462	1690
593	2464	1684
594	2466	1679
595	2468	1673
596	2470	1667
597	2472	1662
598	2479	1660
599	2482	1654
600	2484	1649
601	2486	1643
602	2488	1638
603	2495	1636
604	2497	1630
605	2499	1625
606	2502	1619
607	2509	1617
608	2513	1613
609	2515	1608
610	2517	1602
611	2524	1600
612	2526	1595
613	2529	1589
614	2531	1584
615	2533	1579
616	2540	1577
617	2542	1571
618	2545	1566
619	2547	1561
620	2554	1559
621	2556	1553
622	2560	1549
623	2562	1544
624	2569	1541
625	2571	1536
626	2573	1531
627	2575	1525
628	2578	1520
629	2585	1518
630	2587	1513
631	2589	1508
632	2591	1502
633	2593	1497
634	2601	1495
635	2608	1492
636	2610	1487
637	2618	1485
638	2619	1480
639	2621	1474
640	2623	1469
641	2625	1464
642	2633	1462
643	2635	1457
644	2638	1451
645	2640	1446
646	2649	1445
647	2651	1440
648	2653	1434
649	2655	1429
650	2657	1424
651	2664	1422
652	2666	1417
653	2668	1411
654	2670	1406
655	2672	1401
656	2680	1399
657	2682	1394
658	2684	1389
659	2686	1383
660	2711	1390
661	2713	1385
662	2715	1380
663	2717	1375
664	2719	1369
665	2726	1367
666	2728	1362
667	2730	1357
668	2732	1352
669	2734	1347
670	2742	1344
671	2744	1339
672	2746	1334
673	2748	1329
674	2757	1327
675	2760	1323
676	2762	1318
677	2764	1312
678	2766	1308
679	2774	1305
680	2776	1300
681	2778	1295
682	2780	1290
683	2782	1285
684	2789	1282
685	2791	1277
686	2795	1273
687	2797	1268
688	2804	1266
689	2806	1261
690	2808	1256
691	2811	1251
692	2813	1246
693	2820	1243
694	2822	1238
695	2824	1233
696	2826	1228
697	2829	1224
698	2836	1221
699	2838	1216
700	2884	1230
701	2894	1228
702	2902	1226
703	2904	1221
704	2906	1216
705	2908	1211
706	2910	1206
707	2917	1203
708	2919	1198
709	2921	1193
710	2923	1188
711	2925	1183
712	2932	1180
713	2934	1175
714	2936	1170
715	2942	1167
716	2949	1164
717	2951	1159
718	2953	1154
719	2955	1149
720	2957	1144
721	2964	1141
722	2966	1136
723	2968	1131
724	2970	1126
725	2973	1122
726	2980	1119
727	2983	1114
728	2987	1110
729	2994	1107
730	2997	1102
731	2999	1098
732	3001	1093
733	3003	1088
734	3010	1085
735	3012	1080
736	3027	1080
737	3029	1075
738	3031	1070
739	3033	1065
740	3035	1061
741	3043	1058
742	3046	1053
743	3079	1059
744	3081	1054
745	3083	1049
746	3090	1046
747	3092	1042
748	3096	1037
749	3098	1032
750	3116	1033
751	3123	1030
752	3125	1025
753	3133	1022
754	3141	1019
755	3143	1014
756	3145	1009
757	3147	1004
758	3155	1001
759	3157	997
760	3159	992
761	3161	987
762	3164	982
763	3181	982
764	3183	977
765	3185	973
766	3190	969
767	3199	966
768	3201	961
769	3203	957
770	3205	952
771	3213	949
772	3215	944
773	3217	939
774	3228	937
775	3230	932
776	3232	927
777	3235	923
778	3237	918
779	3244	915
780	3246	910
781	3248	905
782	3250	900
783	3252	896
784	3260	893
785	3262	888
786	3264	883
787	3267	879
788	3276	876
789	3278	871
790	3280	866
791	3282	862
792	3284	857
793	3292	854
794	3294	849
795	3296	844
796	3298	840
797	3300	835
798	3308	832
799	3310	827
800	3312	823
801	3323	820
802	3326	815
803	3328	811
804	3330	806
805	3332	802
806	3339	798
807	3341	794
808	3344	789
809	3345	784
810	3348	780
811	3355	776
812	3357	772
813	3364	768
814	3370	765
815	3373	760
816	3375	756
817	3377	751
818	3379	746
819	3386	743
820	3388	738
821	3391	734
822	3393	729
823	3400	726
824	3402	721
825	3404	717
826	3406	712
827	3408	708
828	3410	703
829	3412	699
830	3414	694
831	3416	689
832	3418	685
833	3421	680
834	3423	676
835	3425	671
836	3427	667
837	3437	664
838	3439	660
839	3441	655
840	3444	651
841	3446	646
842	3454	643
843	3456	638
844	3458	634
845	3460	629
846	3468	626
847	3470	622
848	3473	617
849	3475	613
850	3484	610
851	3486	605
852	3488	601
853	3500	598
854	3502	593
855	3504	589
856	3506	585
857	3508	580
858	3516	577
859	3518	572
860	3520	568
861	3522	564
862	3525	559
863	3532	556
864	3534	551
865	3537	547
866	3548	544
867	3550	539
868	3552	535
869	3559	531
870	3562	527
871	3564	523
872	3566	518
873	3574	515
874	3576	510
875	3578	506
876	3580	502
877	3582	497
878	3593	494
879	3595	490
880	3597	485
881	3599	481
882	3607	477
883	3609	473
884	3611	469
885	3613	464
886	3622	461
887	3627	457
888	3631	453
889	3638	449
890	3640	445
891	3642	441
892	3644	436
893	3646	432
894	3656	429
895	3658	424
896	3660	420
897	3662	416
898	3664	411
899	3666	407
900	3669	403
901	3671	398
902	3673	394
903	3675	390
904	3677	386
905	3679	381
906	3681	377
907	3688	373
908	3691	369
909	3704	366
910	3706	362
911	3709	357
912	3711	353
913	3713	349
914	3720	345
915	3722	341
916	3724	337
917	3726	332
918	3728	328
919	3735	324
920	3738	320
921	3739	316
922	3742	312
923	3744	307
924	3751	304
925	3753	299
926	3755	295
927	3757	291
928	3759	287
929	3771	283
930	3773	279
931	3775	275
932	3783	271
933	3785	267
934	3787	263
935	3789	259
936	3791	254
937	3798	251
938	3800	246
939	3803	242
940	3805	238
941	3812	234
942	3817	230
943	3819	226
944	3821	222
945	3828	218
946	3831	214
947	3833	210
948	3835	206
949	3838	202
950	3840	197
951	3842	193
952	3844	189
953	3846	185
954	3854	181
955	3857	177
956	3859	173
957	3861	169
958	3869	165
959	3871	161
960	3873	157
961	3875	153
962	3877	148
963	3879	144
964	3881	140
965	3883	136
966	3885	132
967	3887	128
968	3898	124
969	3901	120
970	3903	116
971	3905	112
972	3912	108
973	3914	104
974	3916	100
975	3919	96
976	3927	92
977	3929	88
978	3931	84
979	3933	80
980	3935	76
981	3943	72
982	3963	68
983	3965	64
984	3967	60
985	3976	56
986	3978	52
987	3980	48
988	3982	44
989	3984	40
990	3991	36
991	3993	32
992	3995	28
993	3997	24
994	3999	20
995	4040	16
996	4042	12
997	4044	8
998	4046	4
999	4048	0
